Måneder;2023;2022;2021;2020;2019;2018
Jan;60.38.00;84.29.00;32.02.00;47.32.00;65.23.00;48.67
Feb;182.41.00;179.75;169.84;99.32.00;180.47.00;167.07.00
Mar;250.46.00;618.01.00;437.77;507.92;392.53.00;222.19.00
Apr;;683.77;700.04.00;724.05.00;778.19.00;564.88
Maj;;773.23.00;611.54.00;848.32.00;718.59.00;977.29.00
Jun;;795.33.00;826.66;817.72;806.22.00;882.84
Jul;;772.11.00;738.58.00;716.94;791.61;1000.62
Aug;;724.69;617.25.00;695.57.00;605.66;536.21.00
Sep;;471.46.00;418.69;460.04.00;388.82;392.99
Okt;;266.19.00;235.64;209.69;204.13.00;260.37.00
Nov;;57;70.79;99.13.00;49.02.00;58.99
Dec;;29.24.00;29.15.00;0,725;39.27.00;32.09.00
